Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Connor McDavid (41237835),Connor McDavid,41237835,C/UTIL,9500,EDM@BOS 12/18/2025 07:00PM ET,EDM,17.24
C,Auston Matthews (41237837),Auston Matthews,41237837,C/UTIL,9000,TOR@WSH 12/18/2025 07:00PM ET,TOR,16.11
RW,Nikita Kucherov (41238067),Nikita Kucherov,41238067,W/UTIL,8800,LAK@TBL 12/18/2025 07:00PM ET,TBL,14.89
LW,Kirill Kaprizov (41238069),Kirill Kaprizov,41238069,W/UTIL,8700,MIN@CBJ 12/18/2025 07:00PM ET,MIN,14.15
C,Leon Draisaitl (41237839),Leon Draisaitl,41237839,C/UTIL,8500,EDM@BOS 12/18/2025 07:00PM ET,EDM,13.74
G,Logan Thompson (41238905),Logan Thompson,41238905,G,8400,TOR@WSH 12/18/2025 07:00PM ET,WSH,14.26
G,Charlie Lindgren (41238906),Charlie Lindgren,41238906,G,8400,TOR@WSH 12/18/2025 07:00PM ET,WSH,10.18
C,Connor Bedard (41237841),Connor Bedard,41237841,C/UTIL,8300,CHI@MTL 12/18/2025 07:00PM ET,CHI,16.64
G,Andrei Vasilevskiy (41238907),Andrei Vasilevskiy,41238907,G,8300,LAK@TBL 12/18/2025 07:00PM ET,TBL,13.07
G,Jonas Johansson (41238908),Jonas Johansson,41238908,G,8300,LAK@TBL 12/18/2025 07:00PM ET,TBL,9.85
D,Zach Werenski (41238535),Zach Werenski,41238535,D/UTIL,8200,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,15.79
G,Jake Oettinger (41238909),Jake Oettinger,41238909,G,8200,DAL@SJS 12/18/2025 10:00PM ET,DAL,13.00
G,Casey DeSmith (41238910),Casey DeSmith,41238910,G,8200,DAL@SJS 12/18/2025 10:00PM ET,DAL,15.76
G,Jakub Dobes (41238911),Jakub Dobes,41238911,G,8100,CHI@MTL 12/18/2025 07:00PM ET,MTL,10.47
G,Jacob Fowler (41238912),Jacob Fowler,41238912,G,8100,CHI@MTL 12/18/2025 07:00PM ET,MTL,9.97
C,Macklin Celebrini (41237843),Macklin Celebrini,41237843,C/UTIL,8100,DAL@SJS 12/18/2025 10:00PM ET,SJS,16.26
RW,David Pastrnak (41238073),David Pastrnak,41238073,W/UTIL,8000,EDM@BOS 12/18/2025 07:00PM ET,BOS,15.29
G,Ukko-Pekka Luukkonen (41238913),Ukko-Pekka Luukkonen,41238913,G,8000,PHI@BUF 12/18/2025 07:30PM ET,BUF,7.71
G,Alex Lyon (41238914),Alex Lyon,41238914,G,8000,PHI@BUF 12/18/2025 07:30PM ET,BUF,11.16
G,Linus Ullmark (41238915),Linus Ullmark,41238915,G,8000,PIT@OTT 12/18/2025 07:00PM ET,OTT,8.18
G,Leevi Merilainen (41238916),Leevi Merilainen,41238916,G,8000,PIT@OTT 12/18/2025 07:00PM ET,OTT,7.06
G,Filip Gustavsson (41238920),Filip Gustavsson,41238920,G,7900,MIN@CBJ 12/18/2025 07:00PM ET,MIN,13.51
G,Jesper Wallstedt (41238921),Jesper Wallstedt,41238921,G,7900,MIN@CBJ 12/18/2025 07:00PM ET,MIN,20.62
G,Dustin Wolf (41238918),Dustin Wolf,41238918,G,7900,SEA@CGY 12/18/2025 09:00PM ET,CGY,9.54
G,Devin Cooley (41238919),Devin Cooley,41238919,G,7900,SEA@CGY 12/18/2025 09:00PM ET,CGY,10.56
G,Sam Montembeault (41238917),Sam Montembeault,41238917,G,7900,CHI@MTL 12/18/2025 07:00PM ET,MTL,4.62
LW,Jason Robertson (41238071),Jason Robertson,41238071,W/UTIL,7900,DAL@SJS 12/18/2025 10:00PM ET,DAL,15.98
G,Tristan Jarry (41238922),Tristan Jarry,41238922,G,7800,EDM@BOS 12/18/2025 07:00PM ET,EDM,13.26
G,Calvin Pickard (41238923),Calvin Pickard,41238923,G,7800,EDM@BOS 12/18/2025 07:00PM ET,EDM,3.84
G,Colten Ellis (41238926),Colten Ellis,41238926,G,7800,PHI@BUF 12/18/2025 07:30PM ET,BUF,10.99
LW,Brady Tkachuk (41238075),Brady Tkachuk,41238075,W/UTIL,7800,PIT@OTT 12/18/2025 07:00PM ET,OTT,13.26
G,Igor Shesterkin (41238924),Igor Shesterkin,41238924,G,7800,NYR@STL 12/18/2025 08:00PM ET,NYR,12.31
G,Jonathan Quick (41238925),Jonathan Quick,41238925,G,7800,NYR@STL 12/18/2025 08:00PM ET,NYR,14.84
RW,Matt Boldy (41238077),Matt Boldy,41238077,W/UTIL,7700,MIN@CBJ 12/18/2025 07:00PM ET,MIN,14.83
G,Jeremy Swayman (41238929),Jeremy Swayman,41238929,G,7600,EDM@BOS 12/18/2025 07:00PM ET,BOS,13.7
G,Joonas Korpisalo (41238930),Joonas Korpisalo,41238930,G,7600,EDM@BOS 12/18/2025 07:00PM ET,BOS,9.8
RW,Mikko Rantanen (41238079),Mikko Rantanen,41238079,W/UTIL,7600,DAL@SJS 12/18/2025 10:00PM ET,DAL,13.86
G,Jordan Binnington (41238927),Jordan Binnington,41238927,G,7600,NYR@STL 12/18/2025 08:00PM ET,STL,6.42
G,Joel Hofer (41238928),Joel Hofer,41238928,G,7600,NYR@STL 12/18/2025 08:00PM ET,STL,8.37
G,Jet Greaves (41238931),Jet Greaves,41238931,G,7500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,11.89
G,Elvis Merzlikins (41238932),Elvis Merzlikins,41238932,G,7500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,9.8
C,Tage Thompson (41237845),Tage Thompson,41237845,C/UTIL,7500,PHI@BUF 12/18/2025 07:30PM ET,BUF,13.73
G,Joey Daccord (41238933),Joey Daccord,41238933,G,7500,SEA@CGY 12/18/2025 09:00PM ET,SEA,10.15
G,Philipp Grubauer (41238934),Philipp Grubauer,41238934,G,7500,SEA@CGY 12/18/2025 09:00PM ET,SEA,9.11
G,Dan Vladar (41238935),Dan Vladar,41238935,G,7400,PHI@BUF 12/18/2025 07:30PM ET,PHI,12.40
G,Samuel Ersson (41238936),Samuel Ersson,41238936,G,7400,PHI@BUF 12/18/2025 07:30PM ET,PHI,7.17
C,Sidney Crosby (41237847),Sidney Crosby,41237847,C/UTIL,7400,PIT@OTT 12/18/2025 07:00PM ET,PIT,12.38
G,Stuart Skinner (41238937),Stuart Skinner,41238937,G,7400,PIT@OTT 12/18/2025 07:00PM ET,PIT,8.94
G,Arturs Silovs (41238938),Arturs Silovs,41238938,G,7400,PIT@OTT 12/18/2025 07:00PM ET,PIT,10.03
G,Matt Murray (41238941),Matt Murray,41238941,G,7300,SEA@CGY 12/18/2025 09:00PM ET,SEA,7.82
G,Spencer Knight (41238939),Spencer Knight,41238939,G,7300,CHI@MTL 12/18/2025 07:00PM ET,CHI,14.00
G,Arvid Soderblom (41238940),Arvid Soderblom,41238940,G,7300,CHI@MTL 12/18/2025 07:00PM ET,CHI,8.13
LW,Artemi Panarin (41238081),Artemi Panarin,41238081,W/UTIL,7300,NYR@STL 12/18/2025 08:00PM ET,NYR,11.88
D,Quinn Hughes (41238537),Quinn Hughes,41238537,D/UTIL,7200,MIN@CBJ 12/18/2025 07:00PM ET,MIN,11.77
G,Yaroslav Askarov (41238942),Yaroslav Askarov,41238942,G,7200,DAL@SJS 12/18/2025 10:00PM ET,SJS,12.66
G,Alex Nedeljkovic (41238943),Alex Nedeljkovic,41238943,G,7200,DAL@SJS 12/18/2025 10:00PM ET,SJS,10.92
LW,Cole Caufield (41238083),Cole Caufield,41238083,W/UTIL,7100,CHI@MTL 12/18/2025 07:00PM ET,MTL,11.98
G,Anton Forsberg (41238944),Anton Forsberg,41238944,G,7100,LAK@TBL 12/18/2025 07:00PM ET,LAK,10.21
G,Pheonix Copley (41238945),Pheonix Copley,41238945,G,7100,LAK@TBL 12/18/2025 07:00PM ET,LAK,0
G,Carey Price (41238948),Carey Price,41238948,G,7000,DAL@SJS 12/18/2025 10:00PM ET,SJS,0
RW,William Nylander (41238085),William Nylander,41238085,W/UTIL,7000,TOR@WSH 12/18/2025 07:00PM ET,TOR,12.17
G,Joseph Woll (41238946),Joseph Woll,41238946,G,7000,TOR@WSH 12/18/2025 07:00PM ET,TOR,14.78
G,Dennis Hildeby (41238947),Dennis Hildeby,41238947,G,7000,TOR@WSH 12/18/2025 07:00PM ET,TOR,12.2
G,Darcy Kuemper (41238949),Darcy Kuemper,41238949,G,6900,LAK@TBL 12/18/2025 07:00PM ET,LAK,12.69
LW,Alex Ovechkin (41238087),Alex Ovechkin,41238087,W/UTIL,6900,TOR@WSH 12/18/2025 07:00PM ET,WSH,10.64
LW,Brandon Hagel (41238089),Brandon Hagel,41238089,W/UTIL,6800,LAK@TBL 12/18/2025 07:00PM ET,TBL,13.09
G,Anthony Stolarz (41238950),Anthony Stolarz,41238950,G,6800,TOR@WSH 12/18/2025 07:00PM ET,TOR,8.68
C,Wyatt Johnston (41237849),Wyatt Johnston,41237849,C/UTIL,6700,DAL@SJS 12/18/2025 10:00PM ET,DAL,13.38
LW,Jake Guentzel (41238091),Jake Guentzel,41238091,W/UTIL,6700,LAK@TBL 12/18/2025 07:00PM ET,TBL,12.4
D,Jakob Chychrun (41238539),Jakob Chychrun,41238539,D/UTIL,6700,TOR@WSH 12/18/2025 07:00PM ET,WSH,13.07
RW,Kirill Marchenko (41238093),Kirill Marchenko,41238093,W/UTIL,6600,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,12.31
D,Evan Bouchard (41238541),Evan Bouchard,41238541,D/UTIL,6600,EDM@BOS 12/18/2025 07:00PM ET,EDM,12.09
C,Nick Suzuki (41237851),Nick Suzuki,41237851,C/UTIL,6600,CHI@MTL 12/18/2025 07:00PM ET,MTL,11.44
LW,Morgan Geekie (41238095),Morgan Geekie,41238095,W/UTIL,6500,EDM@BOS 12/18/2025 07:00PM ET,BOS,12.65
G,Aleksei Kolosov (41238951),Aleksei Kolosov,41238951,G,6500,PHI@BUF 12/18/2025 07:30PM ET,PHI,5.6
D,Jake Sanderson (41238543),Jake Sanderson,41238543,D/UTIL,6500,PIT@OTT 12/18/2025 07:00PM ET,OTT,11.82
G,Sergei Murashov (41238952),Sergei Murashov,41238952,G,6500,PIT@OTT 12/18/2025 07:00PM ET,PIT,8.96
C,John Tavares (41237853),John Tavares,41237853,C/UTIL,6500,TOR@WSH 12/18/2025 07:00PM ET,TOR,11.13
C,Nazem Kadri (41237855),Nazem Kadri,41237855,C/UTIL,6400,SEA@CGY 12/18/2025 09:00PM ET,CGY,11.00
RW,Bryan Rust (41238097),Bryan Rust,41238097,W/UTIL,6400,PIT@OTT 12/18/2025 07:00PM ET,PIT,12.86
C,Joel Eriksson Ek (41237857),Joel Eriksson Ek,41237857,C/UTIL,6300,MIN@CBJ 12/18/2025 07:00PM ET,MIN,9.86
D,Rasmus Dahlin (41238545),Rasmus Dahlin,41238545,D/UTIL,6300,PHI@BUF 12/18/2025 07:30PM ET,BUF,11.36
RW,Adrian Kempe (41238099),Adrian Kempe,41238099,W/UTIL,6300,LAK@TBL 12/18/2025 07:00PM ET,LAK,11.35
RW,Zach Hyman (41238101),Zach Hyman,41238101,W/UTIL,6200,EDM@BOS 12/18/2025 07:00PM ET,EDM,10.67
C,Tim Stuetzle (41237859),Tim Stuetzle,41237859,C/UTIL,6200,PIT@OTT 12/18/2025 07:00PM ET,OTT,12.42
D,Miro Heiskanen (41238547),Miro Heiskanen,41238547,D/UTIL,6200,DAL@SJS 12/18/2025 10:00PM ET,DAL,11.60
LW,Trevor Zegras (41238103),Trevor Zegras,41238103,W/UTIL,6100,PHI@BUF 12/18/2025 07:30PM ET,PHI,11.56
C,Robert Thomas (41237861),Robert Thomas,41237861,C/UTIL,6100,NYR@STL 12/18/2025 08:00PM ET,STL,7.67
C,Adam Fantilli (41237863),Adam Fantilli,41237863,C/UTIL,6000,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,10.02
LW,Kevin Fiala (41238105),Kevin Fiala,41238105,W/UTIL,6000,LAK@TBL 12/18/2025 07:00PM ET,LAK,10.46
RW,Drake Batherson (41238107),Drake Batherson,41238107,W/UTIL,5900,PIT@OTT 12/18/2025 07:00PM ET,OTT,11.11
D,Adam Fox (41238549),Adam Fox,41238549,D/UTIL,5900,NYR@STL 12/18/2025 08:00PM ET,NYR,11.03
D,Rasmus Andersson (41238551),Rasmus Andersson,41238551,D/UTIL,5800,SEA@CGY 12/18/2025 09:00PM ET,CGY,12.17
C,Brayden Point (41237865),Brayden Point,41237865,C/UTIL,5800,LAK@TBL 12/18/2025 07:00PM ET,TBL,8.28
RW,Tom Wilson (41238109),Tom Wilson,41238109,W/UTIL,5800,TOR@WSH 12/18/2025 07:00PM ET,WSH,11.65
D,Erik Karlsson (41238553),Erik Karlsson,41238553,D/UTIL,5700,PIT@OTT 12/18/2025 07:00PM ET,PIT,9.69
C,Roope Hintz (41237867),Roope Hintz,41237867,C/UTIL,5700,DAL@SJS 12/18/2025 10:00PM ET,DAL,9.96
RW,J.T. Miller (41238111),J.T. Miller,41238111,W/UTIL,5700,NYR@STL 12/18/2025 08:00PM ET,NYR,8.24
LW,Jared McCann (41238113),Jared McCann,41238113,W/UTIL,5600,SEA@CGY 12/18/2025 09:00PM ET,SEA,10.13
D,MacKenzie Weegar (41238555),MacKenzie Weegar,41238555,D/UTIL,5600,SEA@CGY 12/18/2025 09:00PM ET,CGY,9.26
C,Mika Zibanejad (41237869),Mika Zibanejad,41237869,C/UTIL,5600,NYR@STL 12/18/2025 08:00PM ET,NYR,10.78
D,Victor Hedman (41238557),Victor Hedman,41238557,D/UTIL,5500,LAK@TBL 12/18/2025 07:00PM ET,TBL,8.18
C,Dylan Strome (41237871),Dylan Strome,41237871,C/UTIL,5500,TOR@WSH 12/18/2025 07:00PM ET,WSH,8.50
LW,Matthew Knies (41238115),Matthew Knies,41238115,W/UTIL,5500,TOR@WSH 12/18/2025 07:00PM ET,TOR,10.26
D,Lane Hutson (41238559),Lane Hutson,41238559,D/UTIL,5400,CHI@MTL 12/18/2025 07:00PM ET,MTL,9.97
C,Evgeni Malkin (41237873),Evgeni Malkin,41237873,C/UTIL,5400,PIT@OTT 12/18/2025 07:00PM ET,PIT,11.33
RW,Jordan Kyrou (41238117),Jordan Kyrou,41238117,W/UTIL,5400,NYR@STL 12/18/2025 08:00PM ET,STL,8.32
RW,Travis Konecny (41238119),Travis Konecny,41238119,W/UTIL,5300,PHI@BUF 12/18/2025 07:30PM ET,PHI,10.11
C,Vincent Trocheck (41237875),Vincent Trocheck,41237875,C/UTIL,5300,NYR@STL 12/18/2025 08:00PM ET,NYR,8.08
D,Darren Raddysh (41238561),Darren Raddysh,41238561,D/UTIL,5300,LAK@TBL 12/18/2025 07:00PM ET,TBL,10.56
D,Brandon Montour (41238563),Brandon Montour,41238563,D/UTIL,5200,SEA@CGY 12/18/2025 09:00PM ET,SEA,10.20
C,Shane Pinto (41237877),Shane Pinto,41237877,C/UTIL,5200,PIT@OTT 12/18/2025 07:00PM ET,OTT,9.88
LW,Rickard Rakell (41238121),Rickard Rakell,41238121,W/UTIL,5200,PIT@OTT 12/18/2025 07:00PM ET,PIT,9.98
D,Noah Dobson (41238565),Noah Dobson,41238565,D/UTIL,5100,CHI@MTL 12/18/2025 07:00PM ET,MTL,10.17
C,Filip Hallander (41237879),Filip Hallander,41237879,C/UTIL,5100,PIT@OTT 12/18/2025 07:00PM ET,PIT,4.88
LW,Dylan Holloway (41238123),Dylan Holloway,41238123,W/UTIL,5100,NYR@STL 12/18/2025 08:00PM ET,STL,8.45
D,Brock Faber (41238567),Brock Faber,41238567,D/UTIL,5000,MIN@CBJ 12/18/2025 07:00PM ET,MIN,10.84
LW,Ryan Nugent-Hopkins (41238127),Ryan Nugent-Hopkins,41238127,W/UTIL,5000,EDM@BOS 12/18/2025 07:00PM ET,EDM,9.04
LW,Tyler Bertuzzi (41238125),Tyler Bertuzzi,41238125,W/UTIL,5000,CHI@MTL 12/18/2025 07:00PM ET,CHI,10.02
RW,Mats Zuccarello (41238131),Mats Zuccarello,41238131,W/UTIL,4900,MIN@CBJ 12/18/2025 07:00PM ET,MIN,8.1
RW,Matt Coronato (41238129),Matt Coronato,41238129,W/UTIL,4900,SEA@CGY 12/18/2025 09:00PM ET,CGY,9.14
D,Vince Dunn (41238569),Vince Dunn,41238569,D/UTIL,4900,SEA@CGY 12/18/2025 09:00PM ET,SEA,9.37
C,Frank Nazar (41237881),Frank Nazar,41237881,C/UTIL,4900,CHI@MTL 12/18/2025 07:00PM ET,CHI,8.25
D,Charlie McAvoy (41238571),Charlie McAvoy,41238571,D/UTIL,4800,EDM@BOS 12/18/2025 07:00PM ET,BOS,8.66
RW,Alex Tuch (41238135),Alex Tuch,41238135,W/UTIL,4800,PHI@BUF 12/18/2025 07:30PM ET,BUF,11.25
C,Matty Beniers (41237883),Matty Beniers,41237883,C/UTIL,4800,SEA@CGY 12/18/2025 09:00PM ET,SEA,7.24
RW,Jordan Eberle (41238133),Jordan Eberle,41238133,W/UTIL,4800,SEA@CGY 12/18/2025 09:00PM ET,SEA,8.97
C,Anthony Cirelli (41237885),Anthony Cirelli,41237885,C/UTIL,4800,LAK@TBL 12/18/2025 07:00PM ET,TBL,8.18
C,Dylan Cozens (41237887),Dylan Cozens,41237887,C/UTIL,4700,PIT@OTT 12/18/2025 07:00PM ET,OTT,9.46
LW,William Eklund (41238139),William Eklund,41238139,W/UTIL,4700,DAL@SJS 12/18/2025 10:00PM ET,SJS,9.50
LW,Jake Neighbours (41238137),Jake Neighbours,41238137,W/UTIL,4700,NYR@STL 12/18/2025 08:00PM ET,STL,7.2
D,John Carlson (41238573),John Carlson,41238573,D/UTIL,4700,TOR@WSH 12/18/2025 07:00PM ET,WSH,10.74
C,Josh Norris (41237889),Josh Norris,41237889,C/UTIL,4600,PHI@BUF 12/18/2025 07:30PM ET,BUF,11.55
RW,Owen Tippett (41238141),Owen Tippett,41238141,W/UTIL,4600,PHI@BUF 12/18/2025 07:30PM ET,PHI,8.60
RW,Will Smith (41238143),Will Smith,41238143,W/UTIL,4600,DAL@SJS 12/18/2025 10:00PM ET,SJS,10.12
D,Justin Faulk (41238575),Justin Faulk,41238575,D/UTIL,4600,NYR@STL 12/18/2025 08:00PM ET,STL,9.92
C,Sean Monahan (41237891),Sean Monahan,41237891,C/UTIL,4500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,6.96
LW,Dmitri Voronkov (41238145),Dmitri Voronkov,41238145,W/UTIL,4500,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,8.18
LW,Jaden Schwartz (41238147),Jaden Schwartz,41238147,W/UTIL,4500,SEA@CGY 12/18/2025 09:00PM ET,SEA,9.22
D,Morgan Rielly (41238577),Morgan Rielly,41238577,D/UTIL,4500,TOR@WSH 12/18/2025 07:00PM ET,TOR,9.94
RW,Jack Roslovic (41238153),Jack Roslovic,41238153,W/UTIL,4400,EDM@BOS 12/18/2025 07:00PM ET,EDM,9.29
D,Darnell Nurse (41238579),Darnell Nurse,41238579,D/UTIL,4400,EDM@BOS 12/18/2025 07:00PM ET,EDM,9.98
RW,Pavel Buchnevich (41238149),Pavel Buchnevich,41238149,W/UTIL,4400,NYR@STL 12/18/2025 08:00PM ET,STL,5.98
C,Anze Kopitar (41237893),Anze Kopitar,41237893,C/UTIL,4400,LAK@TBL 12/18/2025 07:00PM ET,LAK,7.34
LW,Quinton Byfield (41238151),Quinton Byfield,41238151,W/UTIL,4400,LAK@TBL 12/18/2025 07:00PM ET,LAK,7.71
C,Elias Lindholm (41237895),Elias Lindholm,41237895,C/UTIL,4300,EDM@BOS 12/18/2025 07:00PM ET,BOS,8.85
RW,Josh Doan (41238159),Josh Doan,41238159,W/UTIL,4300,PHI@BUF 12/18/2025 07:30PM ET,BUF,9.62
LW,Jonathan Huberdeau (41238157),Jonathan Huberdeau,41238157,W/UTIL,4300,SEA@CGY 12/18/2025 09:00PM ET,CGY,6.80
D,Esa Lindell (41238581),Esa Lindell,41238581,D/UTIL,4300,DAL@SJS 12/18/2025 10:00PM ET,DAL,7.86
LW,Aliaksei Protas (41238155),Aliaksei Protas,41238155,W/UTIL,4300,TOR@WSH 12/18/2025 07:00PM ET,WSH,8.78
LW,Boone Jenner (41238161),Boone Jenner,41238161,W/UTIL,4200,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,9.27
RW,Ivan Demidov (41238163),Ivan Demidov,41238163,W/UTIL,4200,CHI@MTL 12/18/2025 07:00PM ET,MTL,7.00
C,Ben Kindel (41237897),Ben Kindel,41237897,C/UTIL,4200,PIT@OTT 12/18/2025 07:00PM ET,PIT,9.31
RW,Tyler Toffoli (41238165),Tyler Toffoli,41238165,W/UTIL,4200,DAL@SJS 12/18/2025 10:00PM ET,SJS,8.85
D,Colton Parayko (41238583),Colton Parayko,41238583,D/UTIL,4200,NYR@STL 12/18/2025 08:00PM ET,STL,8.09
C,Sean Couturier (41237899),Sean Couturier,41237899,C/UTIL,4100,PHI@BUF 12/18/2025 07:30PM ET,PHI,7.16
LW,Juraj Slafkovsky (41238167),Juraj Slafkovsky,41238167,W/UTIL,4100,CHI@MTL 12/18/2025 07:00PM ET,MTL,8.4
D,Thomas Harley (41238585),Thomas Harley,41238585,D/UTIL,4100,DAL@SJS 12/18/2025 10:00PM ET,DAL,8.86
