"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"399","Zack MacEwen","N.J","R","3","19","23","7","76.67","17","4","80.95","8","3","72.73","0","0","-","0.97","0.11","89.84","8","1","88.89","4","0","100.00","0","0","-","4","1","80.00","0","0","-","13","4","76.47","0","0","-","0.00","100.00","1.000","3","0","0","23","100.00","9","1","2","81.82"
"272","Dysin Mayo","CBJ","D","1","7.55","12","4","75.00","9","4","69.23","8","4","66.67","0","1","0.00","0.4","0.25","61.23","4","3","57.14","2","2","50.00","0","0","-","2","1","66.67","0","1","0.00","9","1","90.00","0","0","-","0.00","75.00","0.750","2","4","0","7","100.00","3","5","1","75.00"
"746","Pavol Regenda","S.J","L","2","25.433333333333","35","12","74.47","24","10","70.59","15","9","62.50","2","2","50.00","2.15","0.75","74.13","17","6","73.91","10","4","71.43","2","1","66.67","7","2","77.78","0","0","-","18","13","58.06","0","1","0.00","13.33","77.78","0.911","2","9","9","12","18.18","5","11","12","29.41"
"764","Hunter Brzustewicz","CGY","D","3","43.133333333333","52","24","68.42","34","16","68.00","22","11","66.67","2","1","66.67","1.83","1.54","54.36","22","13","62.86","5","7","41.67","0","1","0.00","17","6","73.91","2","0","100.00","39","6","86.67","0","0","-","9.09","90.91","1.000","5","2","0","49","100.00","22","8","1","95.65"
"473","Andrei Svechnikov","CAR","R","32","533.03333333333","792","382","67.46","566","302","65.21","357","206","63.41","31","22","58.49","40.41","23.23","63.50","371","195","65.55","130","79","62.20","5","11","31.25","241","116","67.51","18","9","66.67","525","209","71.53","7","0","100.00","8.68","89.32","0.980","159","80","55","344","74.30","297","119","125","70.38"
"685","Jackson Blake","CAR","R","32","544.01666666667","692","343","66.86","481","266","64.39","299","184","61.90","25","18","58.14","36.04","22.27","61.81","372","168","68.89","147","76","65.92","13","8","61.90","225","92","70.98","9","7","56.25","371","175","67.95","3","0","100.00","8.36","90.22","0.986","122","100","22","379","84.72","227","139","69","76.69"
"162","Shayne Gostisbehere","CAR","D","23","467.08333333333","650","323","66.80","479","248","65.89","310","153","66.95","39","19","67.24","33.93","20.28","62.59","337","158","68.08","127","71","64.14","15","8","65.22","210","87","70.71","21","10","67.74","406","167","70.86","3","0","100.00","12.58","87.58","1.002","123","84","27","317","82.00","258","134","76","77.25"
"240","Nikolaj Ehlers","CAR","L","32","527.35","726","362","66.73","518","273","65.49","340","194","63.67","34","18","65.38","38.67","22.93","62.78","368","180","67.15","136","87","60.99","15","9","62.50","232","93","71.38","15","6","71.43","442","189","70.05","4","1","80.00","10.00","90.72","1.007","154","85","27","351","85.08","281","121","86","76.57"
"624","Bogdan Trineyev","WSH","R","1","11.75","16","8","66.67","12","5","70.59","10","4","71.43","0","0","-","0.51","0.37","57.89","6","3","66.67","2","0","100.00","0","0","-","4","3","57.14","0","0","-","9","5","64.29","0","0","-","0.00","100.00","1.000","0","3","2","11","0.00","3","5","2","60.00"
"661","Logan Stankoven","CAR","C","32","499.15","643","329","66.15","451","254","63.97","287","168","63.08","26","18","59.09","32.85","20.66","61.40","345","171","66.86","141","72","66.20","15","8","65.22","204","99","67.33","8","8","50.00","337","166","67.00","3","0","100.00","9.06","89.29","0.983","120","102","23","342","83.92","207","139","72","74.19"
