Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4990404585,HossDaBeast (4/5),0,159.5,C Auston Matthews C Nazem Kadri D Rasmus Andersson D Ben Chiarot G John Gibson UTIL Morgan Frost W Matthew Knies W Matt Coronato W Jonathan Huberdeau,,Dylan Larkin,C,32.48%,11.3
2,4990732675,nolt0032 (4/5),0,140.40001,C Nick Schmaltz C Anze Kopitar D Rasmus Andersson D Drew Doughty G John Gibson UTIL Adrian Kempe W Clayton Keller W Dylan Guenther W JJ Peterka,,Darcy Kuemper,G,26.11%,12.3
2,4990527067,h418ov21c (2/5),0,140.4,C Nazem Kadri C Morgan Frost D Rasmus Dahlin D Rasmus Andersson G Darcy Kuemper UTIL Jonathan Huberdeau W Nikita Kucherov W Matt Coronato W Yegor Sharangovich,,Nikita Kucherov,W,24.20%,3
4,4990668398,Jack_Of_All_Trades (1/4),0,140.20001,C Auston Matthews C Nazem Kadri D Rasmus Andersson D MacKenzie Weegar G Darcy Kuemper UTIL Moritz Seider W Matt Coronato W Yegor Sharangovich W Max Domi,,Lucas Raymond,W,24.20%,7.8
5,4989795384,tommybomb7 (3/5),0,132.7,C Joel Eriksson Ek C Chandler Stephenson D Brock Faber D Drew Doughty G John Gibson UTIL Eeli Tolvanen W Kirill Kaprizov W Matt Boldy W Mats Zuccarello,,Moritz Seider,D,24.20%,2.8
6,4990722836,nolt0032 (1/5),0,128.6,C Nick Schmaltz C Josh Norris D Mikhail Sergachev D Rasmus Andersson G Dennis Hildeby UTIL Josh Doan W Clayton Keller W Kevin Fiala W JJ Peterka,,Patrick Kane,W,22.93%,6
7,4991259046,vishy2773 (3/5),0,128.20001,C Dylan Larkin C Shane Wright D Rasmus Dahlin D Moritz Seider G John Gibson UTIL Lucas Raymond W Patrick Kane W Emmitt Finnie W Yegor Sharangovich,,Ukko-Pekka Luukkonen,G,22.93%,-5.6
8,4991516506,crclngthdrn (1/2),0,125,C Joel Eriksson Ek C Andrew Copp D Brock Faber D Axel Sandin-Pellikka G Filip Gustavsson UTIL Joel Farabee W Kirill Kaprizov W Matt Boldy W Mats Zuccarello,,Conor Garland,UTIL,22.29%,3
9,4991023758,luckyguesses (4/4),0,124.30001,C Nazem Kadri C Josh Norris D Rasmus Dahlin D Rasmus Andersson G Darcy Kuemper UTIL Eeli Tolvanen W Tage Thompson W Jason Zucker W Josh Doan,,Alex DeBrincat,W,21.66%,7.8
10,4990755924,madpenguin12,0,123.2,C Auston Matthews C Morgan Frost D Jake McCabe D Ben Chiarot G Dennis Hildeby UTIL Emmitt Finnie W Matt Boldy W Alex DeBrincat W Jason Zucker,,Morgan Frost,C,20.38%,7.6
